id,author,publisher,booktitle,language,mainImage,price,quantity,desc
27,"J.K. Rowling, Mary GrandPré",2005,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,https://images.gr-assets.com/books/1361039191m/1.jpg,30000,50,Ok
28,William Golding,1954,Lord of the Flies,eng,https://images.gr-assets.com/books/1327869409m/7624.jpg,30000,50,Ok
29,"William Shakespeare, Robert           Jackson",1595,Romeo and Juliet,eng,https://images.gr-assets.com/books/1327872146m/18135.jpg,30000,50,Ok
30,Gillian Flynn,2012,Gone Girl,eng,https://images.gr-assets.com/books/1339602131m/8442457.jpg,30000,50,Ok
31,Kathryn Stockett,2009,The Help,eng,https://images.gr-assets.com/books/1346100365m/4667024.jpg,30000,50,Ok
32,John Steinbeck,1937,Of Mice and Men,eng,https://images.gr-assets.com/books/1437235233m/890.jpg,30000,50,Ok
33,Arthur Golden,1997,Memoirs of a Geisha,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
34,E.L. James,2011,"Fifty Shades of Grey (Fifty Shades, #1)",eng,https://images.gr-assets.com/books/1385207843m/10818853.jpg,30000,50,Ok
35,"Paulo Coelho, Alan R. Clarke",1988,The Alchemist,eng,https://images.gr-assets.com/books/1483412266m/865.jpg,30000,50,Ok
36,Lois Lowry,1993,"The Giver (The Giver, #1)",eng,https://images.gr-assets.com/books/1342493368m/3636.jpg,30000,50,Ok
37,C.S. Lewis,1950,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng,https://images.gr-assets.com/books/1353029077m/100915.jpg,30000,50,Ok
38,Audrey Niffenegger,2003,The Time Traveler's Wife,eng,https://images.gr-assets.com/books/1437728815m/14050.jpg,30000,50,Ok
39,George R.R. Martin,1996,"A Game of Thrones (A Song of Ice and Fire, #1)",eng,https://images.gr-assets.com/books/1436732693m/13496.jpg,30000,50,Ok
40,Elizabeth Gilbert,2006,"Eat, Pray, Love",eng,https://images.gr-assets.com/books/1503066414m/19501.jpg,30000,50,Ok
41,Rick Riordan,2005,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng,https://images.gr-assets.com/books/1400602609m/28187.jpg,30000,50,Ok
42,Louisa May Alcott,1868,"Little Women (Little Women, #1)",en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
43,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,eng,https://images.gr-assets.com/books/1327867269m/10210.jpg,30000,50,Ok
44,Nicholas Sparks,1996,"The Notebook (The Notebook, #1)",eng,https://images.gr-assets.com/books/1385738917m/15931.jpg,30000,50,Ok
45,Yann Martel,2001,Life of Pi,,https://images.gr-assets.com/books/1320562005m/4214.jpg,30000,50,Ok
46,Sara Gruen,2006,Water for Elephants,eng,https://images.gr-assets.com/books/1494428973m/43641.jpg,30000,50,Ok
47,Markus Zusak,2005,The Book Thief,eng,https://images.gr-assets.com/books/1390053681m/19063.jpg,30000,50,Ok
48,Ray Bradbury,1953,Fahrenheit 451,spa,https://images.gr-assets.com/books/1351643740m/4381.jpg,30000,50,Ok
49,Stephenie Meyer,2006,"New Moon (Twilight, #2)",eng,https://images.gr-assets.com/books/1361039440m/49041.jpg,30000,50,Ok
50,Shel Silverstein,1974,Where the Sidewalk Ends,eng,https://images.gr-assets.com/books/1168052448m/30119.jpg,30000,50,Ok
51,Cassandra Clare,2007,"City of Bones (The Mortal Instruments, #1)",eng,https://images.gr-assets.com/books/1432730315m/256683.jpg,30000,50,Ok
52,Stephenie Meyer,2007,"Eclipse (Twilight, #3)",en-US,https://images.gr-assets.com/books/1361038355m/428263.jpg,30000,50,Ok
53,Christopher Paolini,2002,"Eragon (The Inheritance Cycle, #1)",en-US,https://images.gr-assets.com/books/1366212852m/113436.jpg,30000,50,Ok
54,Douglas Adams,1979,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US,https://images.gr-assets.com/books/1327656754m/11.jpg,30000,50,Ok
55,Aldous Huxley,1932,Brave New World,eng,https://images.gr-assets.com/books/1487389574m/5129.jpg,30000,50,Ok
56,Stephenie Meyer,2008,"Breaking Dawn (Twilight, #4)",en-US,https://images.gr-assets.com/books/1361039438m/1162543.jpg,30000,50,Ok
57,Sue Monk Kidd,2001,The Secret Life of Bees,en-US,https://images.gr-assets.com/books/1473454532m/37435.jpg,30000,50,Ok
58,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,eng,https://images.gr-assets.com/books/1405973850m/2956.jpg,30000,50,Ok
59,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,eng,https://images.gr-assets.com/books/1439632243m/24178.jpg,30000,50,Ok
60,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,eng,https://images.gr-assets.com/books/1479863624m/1618.jpg,30000,50,Ok
61,Paula Hawkins,2015,The Girl on the Train,eng,https://images.gr-assets.com/books/1490903702m/22557272.jpg,30000,50,Ok
62,Philip Pullman,1995,"The Golden Compass (His Dark Materials, #1)",eng,https://images.gr-assets.com/books/1451271747m/119322.jpg,30000,50,Ok
63,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
64,Jodi Picoult,2004,My Sister's Keeper,eng,https://images.gr-assets.com/books/1369504683m/10917.jpg,30000,50,Ok
65,Kurt Vonnegut Jr.,1969,Slaughterhouse-Five,eng,https://images.gr-assets.com/books/1440319389m/4981.jpg,30000,50,Ok
66,Margaret Mitchell,1936,Gone with the Wind,eng,https://images.gr-assets.com/books/1328025229m/18405.jpg,30000,50,Ok
67,Khaled Hosseini,2007,A Thousand Splendid Suns,eng,https://images.gr-assets.com/books/1345958969m/128029.jpg,30000,50,Ok
68,Stephen Chbosky,1999,The Perks of Being a Wallflower,eng,https://images.gr-assets.com/books/1167352178m/22628.jpg,30000,50,Ok
69,Veronica Roth,2012,"Insurgent (Divergent, #2)",eng,https://images.gr-assets.com/books/1325667729m/11735983.jpg,30000,50,Ok
70,Orson Scott Card,1985,"Ender's Game (Ender's Saga, #1)",eng,https://images.gr-assets.com/books/1408303130m/375802.jpg,30000,50,Ok
71,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,Frankenstein,eng,https://images.gr-assets.com/books/1381512375m/18490.jpg,30000,50,Ok
72,Stephen King,1977,The Shining (The Shining #1),eng,https://images.gr-assets.com/books/1353277730m/11588.jpg,30000,50,Ok
73,Stephenie Meyer,2008,"The Host (The Host, #1)",en-US,https://images.gr-assets.com/books/1318009171m/1656001.jpg,30000,50,Ok
74,John Green,2005,Looking for Alaska,eng,https://images.gr-assets.com/books/1394798630m/99561.jpg,30000,50,Ok
75,Helen Fielding,1996,"Bridget Jones's Diary (Bridget Jones, #1)",eng,https://images.gr-assets.com/books/1292060045m/227443.jpg,30000,50,Ok
76,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,eng,https://images.gr-assets.com/books/1397245675m/14935.jpg,30000,50,Ok
77,"Louis Sachar, Louis Sachar",1998,"Holes (Holes, #1)",eng,https://images.gr-assets.com/books/1327781893m/38709.jpg,30000,50,Ok
78,Lauren Weisberger,2003,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
79,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,The Odyssey,eng,https://images.gr-assets.com/books/1390173285m/1381.jpg,30000,50,Ok
80,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,The Little Prince,eng,https://images.gr-assets.com/books/1367545443m/157993.jpg,30000,50,Ok
81,Jeannette Walls,2005,The Glass Castle,eng,https://images.gr-assets.com/books/1400930557m/7445.jpg,30000,50,Ok
82,Jon Krakauer,1996,Into the Wild,eng,https://images.gr-assets.com/books/1403173986m/1845.jpg,30000,50,Ok
83,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,eng,https://images.gr-assets.com/books/1344922523m/1953.jpg,30000,50,Ok
84,Michael Crichton,1990,"Jurassic Park (Jurassic Park, #1)",spa,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
85,Shel Silverstein,1964,The Giving Tree,eng,https://images.gr-assets.com/books/1174210942m/370493.jpg,30000,50,Ok
86,John Grisham,1989,A Time to Kill,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
87,"Elie Wiesel, Marion Wiesel",1958,Night (The Night Trilogy #1),eng,https://images.gr-assets.com/books/1473495285m/1617.jpg,30000,50,Ok
88,John Green,2008,Paper Towns,en-US,https://images.gr-assets.com/books/1349013610m/6442769.jpg,30000,50,Ok
89,William Goldman,1973,The Princess Bride ,en-US,https://images.gr-assets.com/books/1327903636m/21787.jpg,30000,50,Ok
90,S.E. Hinton,1967,The Outsiders,en-US,https://images.gr-assets.com/books/1442129426m/231804.jpg,30000,50,Ok
91,James Dashner,2009,"The Maze Runner (Maze Runner, #1)",eng,https://images.gr-assets.com/books/1375596592m/6186357.jpg,30000,50,Ok
92,"Steven D. Levitt, Stephen J. Dubner",2005,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",en-US,https://images.gr-assets.com/books/1327909092m/1202.jpg,30000,50,Ok
93,Frances Hodgson Burnett,1911,The Secret Garden,eng,https://images.gr-assets.com/books/1327873635m/2998.jpg,30000,50,Ok
94,"Gabriel García Márquez, Gregory Rabassa",1967,One Hundred Years of Solitude,eng,https://images.gr-assets.com/books/1327881361m/320.jpg,30000,50,Ok
95,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,eng,https://images.gr-assets.com/books/1424596966m/5297.jpg,30000,50,Ok
96,E.L. James,2012,"Fifty Shades Freed (Fifty Shades, #3)",eng,https://images.gr-assets.com/books/1336418837m/13536860.jpg,30000,50,Ok
97,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,eng,https://images.gr-assets.com/books/1387151694m/17245.jpg,30000,50,Ok
98,"Stieg Larsson, Reg Keeland",2006,"The Girl Who Played with Fire (Millennium, #2)",eng,https://images.gr-assets.com/books/1351778881m/5060378.jpg,30000,50,Ok
99,E.L. James,2011,"Fifty Shades Darker (Fifty Shades, #2)",eng,https://images.gr-assets.com/books/1358266080m/11857408.jpg,30000,50,Ok
100,Barbara Kingsolver,1998,The Poisonwood Bible,eng,https://images.gr-assets.com/books/1412242487m/7244.jpg,30000,50,Ok
101,David Sedaris,2000,Me Talk Pretty One Day,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
102,Maurice Sendak,1963,Where the Wild Things Are,eng,https://images.gr-assets.com/books/1384434560m/19543.jpg,30000,50,Ok
103,"Alexandre Dumas, Robin Buss",1844,The Count of Monte Cristo,eng,https://images.gr-assets.com/books/1309203605m/7126.jpg,30000,50,Ok
104,Cormac McCarthy,2006,The Road,eng,https://images.gr-assets.com/books/1439197219m/6288.jpg,30000,50,Ok
105,Veronica Roth,2013,"Allegiant (Divergent, #3)",eng,https://images.gr-assets.com/books/1395582745m/18710190.jpg,30000,50,Ok
106,Tina Fey,2011,Bossypants,eng,https://images.gr-assets.com/books/1481509554m/9418327.jpg,30000,50,Ok
107,Nicholas Sparks,1999,A Walk to Remember,en-US,https://images.gr-assets.com/books/1385738968m/3473.jpg,30000,50,Ok
108,Sophie Kinsella,2000,"Confessions of a Shopaholic (Shopaholic, #1)",eng,https://images.gr-assets.com/books/1327872404m/9416.jpg,30000,50,Ok
109,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,eng,https://images.gr-assets.com/books/1411852091m/24280.jpg,30000,50,Ok
110,George R.R. Martin,1998,"A Clash of Kings  (A Song of Ice and Fire, #2)",eng,https://images.gr-assets.com/books/1358254974m/10572.jpg,30000,50,Ok
111,Kim Edwards,2005,The Memory Keeper's Daughter,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
112,Jojo Moyes,2012,"Me Before You (Me Before You, #1)",eng,https://images.gr-assets.com/books/1357108762m/15507958.jpg,30000,50,Ok
113,Joseph Heller,1961,Catch-22,en-US,https://images.gr-assets.com/books/1463157317m/168668.jpg,30000,50,Ok
114,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,eng,https://images.gr-assets.com/books/1423763749m/6900.jpg,30000,50,Ok
115,Jeffrey Eugenides,2002,Middlesex,en-US,https://images.gr-assets.com/books/1437029776m/2187.jpg,30000,50,Ok
116,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,eng,https://images.gr-assets.com/books/1404811979m/24583.jpg,30000,50,Ok
117,Madeleine L'Engle,1962,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",en-US,https://images.gr-assets.com/books/1329061522m/18131.jpg,30000,50,Ok
118,Amy Tan,1989,The Joy Luck Club,eng,https://images.gr-assets.com/books/1304978653m/7763.jpg,30000,50,Ok
119,Margaret Atwood,1985,The Handmaid's Tale,eng,https://images.gr-assets.com/books/1498057733m/38447.jpg,30000,50,Ok
120,Ann Brashares,2001,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng,https://images.gr-assets.com/books/1461611233m/452306.jpg,30000,50,Ok
121,"Vladimir Nabokov, Craig Raine",1955,Lolita,eng,https://images.gr-assets.com/books/1377756377m/7604.jpg,30000,50,Ok
122,"Gregory Maguire, Douglas Smith",1995,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",eng,https://images.gr-assets.com/books/1437733293m/37442.jpg,30000,50,Ok
123,John Grisham,1991,"The Firm (Penguin Readers, Level 5)",eng,https://images.gr-assets.com/books/1418465200m/5358.jpg,30000,50,Ok
124,Emma Donoghue,2010,Room,eng,https://images.gr-assets.com/books/1344265419m/7937843.jpg,30000,50,Ok
125,"William Shakespeare, Richard Andrews, Rex Gibson",1600,Hamlet,eng,https://images.gr-assets.com/books/1351051208m/1420.jpg,30000,50,Ok
126,Frank Herbert,1965,Dune (Dune Chronicles #1),eng,https://images.gr-assets.com/books/1434908555m/234225.jpg,30000,50,Ok
127,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,eng,https://images.gr-assets.com/books/1473396980m/2612.jpg,30000,50,Ok
128,Walter Isaacson,2011,Steve Jobs,eng,https://images.gr-assets.com/books/1327861368m/11084145.jpg,30000,50,Ok
129,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,eng,https://images.gr-assets.com/books/1485308778m/332613.jpg,30000,50,Ok
130,Ernest Hemingway,1952,The Old Man and the Sea,eng,https://images.gr-assets.com/books/1329189714m/2165.jpg,30000,50,Ok
131,John Steinbeck,1939,The Grapes of Wrath,eng,https://images.gr-assets.com/books/1352912927m/4395.jpg,30000,50,Ok
132,Mitch Albom,2003,The Five People You Meet in Heaven,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
133,L.M. Montgomery,1908,"Anne of Green Gables (Anne of Green Gables, #1)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
134,Cassandra Clare,2009,"City of Glass (The Mortal Instruments, #3)",en-US,https://images.gr-assets.com/books/1369452339m/3777732.jpg,30000,50,Ok
135,George R.R. Martin,2000,"A Storm of Swords (A Song of Ice and Fire, #3)",eng,https://images.gr-assets.com/books/1497931121m/62291.jpg,30000,50,Ok
136,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,en-US,https://images.gr-assets.com/books/1408313524m/137791.jpg,30000,50,Ok
137,Diana Gabaldon,1991,"Outlander (Outlander, #1)",eng,https://images.gr-assets.com/books/1402600310m/10964.jpg,30000,50,Ok
138,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,eng,https://images.gr-assets.com/books/1404810944m/12296.jpg,30000,50,Ok
139,Ransom Riggs,2011,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",en-US,https://images.gr-assets.com/books/1472782916m/9460487.jpg,30000,50,Ok
140,"Stieg Larsson, Reg Keeland",2007,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",en-US,https://images.gr-assets.com/books/1327708260m/6892870.jpg,30000,50,Ok
141,Andy Weir,2012,The Martian,eng,https://images.gr-assets.com/books/1413706054m/18007564.jpg,30000,50,Ok
142,Ken Follett,1989,"The Pillars of the Earth (The Kingsbridge Series, #1)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
143,Anthony Doerr,2014,All the Light We Cannot See,eng,https://images.gr-assets.com/books/1451445646m/18143977.jpg,30000,50,Ok
144,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,https://images.gr-assets.com/books/1327861115m/8664353.jpg,30000,50,Ok
145,Dan Brown,2001,Deception Point,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
146,Donna Tartt,2013,The Goldfinch,eng,https://images.gr-assets.com/books/1451554970m/17333223.jpg,30000,50,Ok
147,Jay Asher,2007,Thirteen Reasons Why,eng,https://images.gr-assets.com/books/1333822506m/1217100.jpg,30000,50,Ok
148,Tracy Chevalier,1999,Girl with a Pearl Earring,eng,https://images.gr-assets.com/books/1327197580m/2865.jpg,30000,50,Ok
149,Gayle Forman,2009,"If I Stay (If I Stay, #1)",en-US,https://images.gr-assets.com/books/1347462970m/4374400.jpg,30000,50,Ok
150,Anita Diamant,1997,The Red Tent,en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
151,Rick Riordan,2006,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",eng,https://images.gr-assets.com/books/1400602661m/28186.jpg,30000,50,Ok
152,Nicholas Sparks,2006,Dear John,en-US,https://images.gr-assets.com/books/1397749854m/5526.jpg,30000,50,Ok
153,Cassandra Clare,2008,"City of Ashes (The Mortal Instruments, #2)",eng,https://images.gr-assets.com/books/1432730356m/1582996.jpg,30000,50,Ok
154,William Shakespeare,1606,Macbeth,eng,https://images.gr-assets.com/books/1459795224m/8852.jpg,30000,50,Ok
155,J.R.R. Tolkien,1954,"The Two Towers (The Lord of the Rings, #2)",en-US,https://images.gr-assets.com/books/1298415523m/15241.jpg,30000,50,Ok
156,Emily Giffin,2004,"Something Borrowed (Darcy & Rachel, #1)",eng,https://images.gr-assets.com/books/1305063535m/42156.jpg,30000,50,Ok
157,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,en-US,https://images.gr-assets.com/books/1468680100m/23772.jpg,30000,50,Ok
158,"Roald Dahl, Quentin Blake",1964,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",eng,https://images.gr-assets.com/books/1309211401m/6310.jpg,30000,50,Ok
159,Rick Riordan,2008,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",eng,https://images.gr-assets.com/books/1443142158m/2120932.jpg,30000,50,Ok
160,Charles Dickens,1860,Great Expectations,eng,https://images.gr-assets.com/books/1327920219m/2623.jpg,30000,50,Ok
161,J.R.R. Tolkien,1955,"The Return of the King (The Lord of the Rings, #3)",en-US,https://images.gr-assets.com/books/1389977161m/18512.jpg,30000,50,Ok
162,"Albert Camus, Matthew    Ward",1942,The Stranger,eng,https://images.gr-assets.com/books/1349927872m/49552.jpg,30000,50,Ok
163,Rick Riordan,2010,"The Lost Hero (The Heroes of Olympus, #1)",eng,https://images.gr-assets.com/books/1464201003m/7736182.jpg,30000,50,Ok
164,Rainbow Rowell,2013,Eleanor & Park,eng,https://images.gr-assets.com/books/1341952742m/15745753.jpg,30000,50,Ok
165,George R.R. Martin,2005,"A Feast for Crows (A Song of Ice and Fire, #4)",en-US,https://images.gr-assets.com/books/1429538615m/13497.jpg,30000,50,Ok
166,Ally Condie,2010,"Matched (Matched, #1)",eng,https://images.gr-assets.com/books/1367706191m/7735333.jpg,30000,50,Ok
167,Neil Gaiman,2001,"American Gods (American Gods, #1)",eng,https://images.gr-assets.com/books/1258417001m/4407.jpg,30000,50,Ok
168,"Stephen King, Bernie Wrightson",1978,The Stand,en-US,https://images.gr-assets.com/books/1213131305m/149267.jpg,30000,50,Ok
169,Nicholas Sparks,2008,The Last Song,en-GB,https://images.gr-assets.com/books/1286549186m/6400090.jpg,30000,50,Ok
170,Dan Brown,1998,Digital Fortress,en-GB,https://images.gr-assets.com/books/1360095966m/11125.jpg,30000,50,Ok
171,"Jane Austen, Fiona Stafford",1815,Emma,eng,https://images.gr-assets.com/books/1373627931m/6969.jpg,30000,50,Ok
172,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Anna Karenina,eng,https://images.gr-assets.com/books/1352422904m/15823480.jpg,30000,50,Ok
173,Anthony Burgess,1962,A Clockwork Orange,eng,https://images.gr-assets.com/books/1348339306m/227463.jpg,30000,50,Ok
174,William Paul Young,2007,The Shack,eng,https://images.gr-assets.com/books/1344270232m/1812457.jpg,30000,50,Ok
175,Rick Riordan,2009,"The Last Olympian (Percy Jackson and the Olympians, #5)",eng,https://images.gr-assets.com/books/1327924597m/4502507.jpg,30000,50,Ok
176,Stephen King,1986,It,en-US,https://images.gr-assets.com/books/1309376909m/18342.jpg,30000,50,Ok
177,"Fyodor Dostoyevsky, David McDuff",1866,Crime and Punishment,eng,https://images.gr-assets.com/books/1382846449m/7144.jpg,30000,50,Ok
178,Sylvia Plath,1963,The Bell Jar,en-US,https://images.gr-assets.com/books/1473890514m/6514.jpg,30000,50,Ok
179,Frank McCourt,1996,"Angela's Ashes (Frank McCourt, #1)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
180,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,eng,https://images.gr-assets.com/books/1428715580m/52036.jpg,30000,50,Ok
181,Truman Capote,1965,In Cold Blood,eng,https://images.gr-assets.com/books/1424931136m/168642.jpg,30000,50,Ok
182,"Kami Garcia, Margaret Stohl",2009,"Beautiful Creatures (Caster Chronicles, #1)",eng,https://images.gr-assets.com/books/1327873282m/6304335.jpg,30000,50,Ok
183,Cassandra Clare,2010,"Clockwork Angel (The Infernal Devices, #1)",eng,https://images.gr-assets.com/books/1454962884m/7171637.jpg,30000,50,Ok
184,"Roald Dahl, Quentin Blake",1988,Matilda,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,30000,50,Ok
185,Erin Morgenstern,2011,The Night Circus,eng,https://images.gr-assets.com/books/1387124618m/9361589.jpg,30000,50,Ok
186,Philippa Gregory,2001,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",eng,https://images.gr-assets.com/books/1355932638m/37470.jpg,30000,50,Ok
187,Scott Westerfeld,2005,"Uglies (Uglies, #1)",eng,https://images.gr-assets.com/books/1443904172m/24770.jpg,30000,50,Ok
188,George R.R. Martin,2011,"A Dance with Dragons (A Song of Ice and Fire, #5)",eng,https://images.gr-assets.com/books/1327885335m/10664113.jpg,30000,50,Ok
189,J.R.R. Tolkien,1955,"The Lord of the Rings (The Lord of the Rings, #1-3)",eng,https://images.gr-assets.com/books/1411114164m/33.jpg,30000,50,Ok
